Categoria;Labirinto;Algoritmo;Sucesso;Tamanho Caminho;Custo;Explorados;Expandidos;Tempo;Fronteira
Uniformes;Pequeno;BFS;Sim;38;38;226;225;0.0021;16
Uniformes;Pequeno;DFS;Sim;84;84;109;108;0.0003;38
Uniformes;Pequeno;UCS;Sim;38;38;226;225;0.0006;16
Uniformes;Pequeno;Gulosa;Sim;42;42;48;47;0.0003;18
Uniformes;Pequeno;A*;Sim;38;38;128;127;0.0007;15
Uniformes;Médio;BFS;Sim;106;106;1359;1358;0.0028;1
Uniformes;Médio;DFS;Sim;160;160;237;236;0.0017;54
Uniformes;Médio;UCS;Sim;106;106;1359;1358;0.0037;1
Uniformes;Médio;Gulosa;Sim;114;114;177;176;0.0010;45
Uniformes;Médio;A*;Sim;106;106;635;634;0.0018;74
Uniformes;Grande;BFS;Sim;170;170;3352;3531;0.0072;4
Uniformes;Grande;DFS;Sim;368;368;2325;2324;0.0089;110
Uniformes;Grande;UCS;Sim;170;170;3352;3351;0.0085;4
Uniformes;Grande;Gulosa;Sim;202;202;477;476;0.0015;76
Uniformes;Grande;A*;Sim;170;170;1283;1282;0.0305;110
Variados;Pequeno;BFS;Sim;38;86;226;225;0.0017;0
Variados;Pequeno;DFS;Sim;84;210;109;108;0.0005;37
Variados;Pequeno;UCS;Sim;38;86;226;225;0.0007;1
Variados;Pequeno;Gulosa;Sim;42;94;48;47;0.0003;17
Variados;Pequeno;A*;Sim;38;86;208;207;0.0010;11
Variados;Médio;BFS;Sim;106;270;1359;1358;0.0041;1
Variados;Médio;DFS;Sim;160;374;237;236;0.0009;54
Variados;Médio;UCS;Sim;110;237;1358;1357;0.0036;1
Variados;Médio;Gulosa;Sim;114;303;177;176;0.0006;45
Variados;Médio;A*;Sim;110;237;1356;1355;0.0054;2
Variados;Grande;BFS;Sim;170;429;3352;3351;0.0081;4
Variados;Grande;DFS;Sim;368;750;2325;2324;0.0061;110
Variados;Grande;UCS;Sim;178;365;3347;3346;0.0092;3
Variados;Grande;Gulosa;Sim;202;459;477;476;0.0015;76
Variados;Grande;A*;Sim;178;365;3279;3278;0.0120;16
